Имя,Главная категория,Побочная категория,Артикул,Ссылка на картинку,Характеристика,Описание,Ссылка на товар,Цена
Компьютер Acer Veriton X2640G DT.VN5ER.014,KNS_Компьютеры,Компьютеры Acer,ID: 542941,https://cdn.kns.ru/linkpics/acer-veriton-x2640g-dt-vn5er-014-0.jpg,Модель CPU Intel Core i3 6100 Тактовая частота CPU 3.7 Ггц Количество ядер процессора 2 ядра Объём 4096 Мб Объем диска HDD 500 Гб Графический чипсет Intel HD Graphics 530 Объем видеопамяти использует системную Операционная система Windows 7 Pro + Windows 10 Pro,,https://www.kns.ru/product/kompyuter-acer-veriton-x2640g-dt-vn5er-014/,42598
Компьютер Acer Aspire G5910 PT.SFJE2.207,KNS_Компьютеры,Компьютеры Acer,ID: 356580,https://cdn.kns.ru/linkpics/acer-aspire-g5910--pt-sfje2-012--0.jpg,Модель CPU Intel Core i7 2600 Тактовая частота CPU 3.4 ГГц Объём 8192 Мб Объем диска HDD 1000 Гб Графический чипсет nVidia GeForce GTX550Ti Объем видеопамяти 1536 Мб Операционная система Microsoft Windows 7 Home Premium,,https://www.kns.ru/product/kompyuter-acer-aspire-g5910-pt-sfje2-207/,46840
Компьютер Acer Veriton 6800 PS.680E0.R36,KNS_Компьютеры,Компьютеры Acer,ID: 200288,https://cdn.kns.ru/linkpics/acer-veriton-6800--ps-680e0-r36-r--1.jpg,Модель CPU Intel Pentium D 915 Тактовая частота CPU 2.8 ГГц Объём 512 Мб Объем диска HDD 80 Гб Графический чипсет Intel GMA 950 Объем видеопамяти до 128 Мб оперативной памяти Операционная система Linux,,https://www.kns.ru/product/kompyuter-acer-veriton-6800-ps-680e0-r36/,3430
Компьютер Acer Aspire X3200 98.3ND7M.R70,KNS_Компьютеры,Компьютеры Acer,ID: 309552,https://cdn.kns.ru/linkpics/acer-aspire-x3200--98-3nd7m-r70--0.jpg,Модель CPU AMD Athlon X2 7450 Тактовая частота CPU 2.4 ГГц Объём 1024 Мб Объем диска HDD 320 Гб Графический чипсет nVidia GeForce G100 (SLI) Объем видеопамяти 512 Мб Операционная система Linux,,https://www.kns.ru/product/kompyuter-acer-aspire-x3200-98-3nd7m-r70/,32222
Компьютер Acer Veriton X480G PS.V97EC.005,KNS_Компьютеры,Компьютеры Acer,ID: 324746,https://cdn.kns.ru/linkpics/acer-veriton-x480g--ps-v97e9-039--0.jpg,Модель CPU Intel Pentium Dual-Core E5400 Тактовая частота CPU 2.7 ГГц Объём 1024 Мб Объем диска HDD 320 Гб Графический чипсет Intel GMA X4500 Объем видеопамяти 12288 Мб Операционная система Linux,,https://www.kns.ru/product/kompyuter-acer-veriton-x480g-ps-v97ec-005/,30326
Компьютер Acer Veriton X275 PS.VAME3.037,KNS_Компьютеры,Компьютеры Acer,ID: 326689,https://cdn.kns.ru/linkpics/acer-veriton-x275--ps-vame3-239--0.jpg,Модель CPU Intel Celeron Dual-Core E3300 Тактовая частота CPU 2.5 ГГц Объём 2048 Мб Объем диска HDD 160 Гб Графический чипсет Intel GMA X3150 Объем видеопамяти 12288 Мб Операционная система Microsoft Windows XP Professional + Microsoft Windows 7 Professional,,https://www.kns.ru/product/kompyuter-acer-veriton-x275-ps-vame3-037/,40646
Компьютер Acer Aspire M5811 PT.SDGE1.007,KNS_Компьютеры,Компьютеры Acer,ID: 325480,https://cdn.kns.ru/linkpics/acer-aspire-m5810-91-mhm75-rcn-0.jpg,Модель CPU Intel Core i3 530 Тактовая частота CPU 2.93 ГГц Объём 3072 Мб Объем диска HDD 320 Гб Графический чипсет nVidia GeForce GT330 Объем видеопамяти 2048 Мб Операционная система Microsoft Windows 7 Home Premium,,https://www.kns.ru/product/kompyuter-acer-aspire-m5811-pt-sdge1-007/,28180
Компьютер Acer Veriton X490G PS.VAVE3.026,KNS_Компьютеры,Компьютеры Acer,ID: 326690,https://cdn.kns.ru/linkpics/acer-veriton-x490g--ps-vave3-289--0.jpg,Модель CPU Intel Core i3 530 Тактовая частота CPU 2.93 ГГц Объём 2048 Мб Объем диска HDD 320 Гб Графический чипсет Intel GMA HD Объем видеопамяти 12288 Мб Операционная система Microsoft Windows XP Professional + Microsoft Windows 7 Professional,,https://www.kns.ru/product/kompyuter-acer-veriton-x490g-ps-vave3-026/,22850
Компьютер Acer Aspire X3300 98.JJM7Q.R7Y,KNS_Компьютеры,Компьютеры Acer,ID: 323020,https://cdn.kns.ru/linkpics/acer-aspire-x3300--98-jjm7q-r7y--0.jpg,Модель CPU Athlon II X3 425 Тактовая частота CPU 2.7 ГГц Объём 3072 Мб Объем диска HDD 320 Гб Графический чипсет ATI Radeon HD 5570 Объем видеопамяти 1024 Мб Операционная система Microsoft Windows 7 Home Basic,,https://www.kns.ru/product/kompyuter-acer-aspire-x3300-98-jjm7q-r7y/,41348
Компьютер Acer eMachines ER1401 PT.NBZE2.001,KNS_Компьютеры,Компьютеры Acer,ID: 328076,https://cdn.kns.ru/linkpics/acer-emachines-er1401--pt-nbze2-004--0.jpg,Модель CPU Athlon II Neo Dual-Core K325 Тактовая частота CPU 1.3 ГГц Объём 2048 Мб Объем диска HDD 160 Гб Графический чипсет nVidia GeForce 9200 Операционная система Microsoft Windows 7 Home Premium,,https://www.kns.ru/product/kompyuter-acer-emachines-er1401-pt-nbze2-001/,11428
